,L2,dev_set_false_true,dev_set_score,n_hidden,train_set_false_true,train_set_score
0,1e-05,0.999450247388675,0.03674,20,0.9991446540880503,0.03702046176533165
1,1e-05,1.0,0.03638,30,1.0,0.03645370974960199
2,1e-05,0.0,0.96362,40,0.0,0.9635462902503981
3,1e-05,0.33699835074216605,0.6381,50,0.34867924528301886,0.6385332677930786
4,1e-05,0.0,0.9635,60,0.0,0.9633977241880223
5,0.0001,0.999450247388675,0.03674,20,0.9991446540880503,0.03702046176533165
6,0.0001,1.0,0.03638,30,1.0,0.03645370974960199
7,0.0001,0.0,0.96362,40,0.0,0.9635462902503981
8,0.0001,0.33699835074216605,0.63816,50,0.34867924528301886,0.6385497751333427
9,0.0001,0.0,0.9635,60,0.0,0.9633977241880223
10,0.001,0.999450247388675,0.03674,20,0.9991446540880503,0.037013125169658774
11,0.001,1.0,0.03638,30,1.0,0.03645370974960199
12,0.001,0.0,0.96362,40,0.0,0.9635462902503981
13,0.001,0.33699835074216605,0.6383,50,0.34862893081761004,0.6387551998121832
14,0.001,0.0,0.9635,60,0.0,0.9633977241880223
15,0.01,0.999450247388675,0.03674,20,0.999245283018868,0.03697093974453974
16,0.01,1.0,0.03638,30,1.0,0.03645370974960199
17,0.01,0.0,0.96362,40,0.0,0.9635462902503981
18,0.01,0.3347993402968664,0.64008,50,0.34571069182389935,0.640613192666339
19,0.01,0.0,0.9635,60,0.0,0.9633977241880223
20,0.1,1.0,0.03656,20,0.9994968553459119,0.036677475917624706
21,0.1,1.0,0.03638,30,1.0,0.03645370974960199
22,0.1,0.0,0.96362,40,0.0,0.9635462902503981
23,0.1,0.3205057724024189,0.65918,50,0.326188679245283,0.6582246905790775
24,0.1,0.0,0.96346,60,0.0,0.96337938269884
25,0.25,1.0,0.0364,20,0.9998490566037735,0.036462880494193085
26,0.25,1.0,0.03638,30,1.0,0.03645370974960199
27,0.25,0.0,0.96362,40,0.0,0.9635462902503981
28,0.25,0.29686641011544807,0.68534,50,0.2969056603773585,0.6839963170289722
29,0.25,0.0,0.96344,60,5.0314465408805034e-05,0.9633555387629033
30,0.5,1.0,0.03638,20,1.0,0.03645370974960199
31,0.5,1.0,0.03638,30,1.0,0.03645370974960199
32,0.5,0.0,0.96362,40,0.0,0.9635462902503981
33,0.5,0.22100054975261132,0.75372,50,0.2190188679245283,0.752764062419756
34,0.5,0.0005497526113249038,0.9635,60,0.0003018867924528302,0.9633133533377842
35,1.0,1.0,0.03638,20,1.0,0.03645370974960199
36,1.0,0.0038482682792743265,0.95758,30,0.005886792452830188,0.9576880186056066
37,1.0,0.0,0.96362,40,0.0,0.9635462902503981
38,1.0,0.0,0.9636,50,0.0,0.9635389536547251
39,1.0,0.007146783947223749,0.96116,60,0.0045786163522012575,0.9607803936817239
